"","SampleID","ParticleID","WellID","ParticleShape","ParticleColor","ParticlePolymerType","ParticleLength","ParticleWidth","SieveSizeRange","PhotoURL","SpectraLink","Notes","well","sample","file_name","match_val","material_class","spectrum_identity","library_id","shape","color"
"1","SFEI_01_S01","SFEI_01_S01_025","W25","Fragment","White",NA,4034.02,"4387.75",500,NA,NA,NA,"25","S01","SFEI_01_S01_025_FRA_WHT.spa",0.64877422395009,"mineral","magnetite","60d3d5cd8335c77abce343da2f286049","Fragment","White"
"2","SFEI_01_S01","SFEI_01_S01_026","W26","Fragment","White",NA,3243.41,"4176.15",500,NA,NA,NA,"26","S01","SFEI_01_S01_026_FRA_WHT.spa",0.691402896498157,"mineral","quartz","4bef9cb058edd4fb4e1a32badba9b1bf","Fragment","White"
"3","SFEI_01_S01","SFEI_01_S01_027","W27","Fragment","White",NA,3837.73,"3460.09",500,NA,NA,NA,"27","S01","SFEI_01_S01_027_FRA_WHT.spa",0.722628325154997,"mineral","soil","d438cda86a8e4c24aa160f61789ca50a","Fragment","White"
"4","SFEI_01_S01","SFEI_01_S01_028","W28","Fragment","White",NA,3905.41,"2722.03",500,NA,NA,NA,"28","S01","SFEI_01_S01_028_FRA_WHT.spa",0.770398690759727,"mineral","montmorillonite no. 31","cb98ba9cef45060fe051134f393fd87e","Fragment","White"
"5","SFEI_01_S01","SFEI_01_S01_029","W29","Fragment","White",NA,3627.91,"3873.14",500,NA,NA,NA,"29","S01","SFEI_01_S01_029_FRA_WHT.spa",0.844163544156913,"mineral","soil","d438cda86a8e4c24aa160f61789ca50a","Fragment","White"
"6","SFEI_01_S01","SFEI_01_S01_030","W30","Fragment","White",NA,3472.23,"4022.1",500,NA,NA,NA,"30","S01","SFEI_01_S01_030_FRA_WHT.spa",0.714608048829911,"mineral","soil","b48a353f1aa6c46929d7d5aa76f9fab6","Fragment","White"
"7","SFEI_01_S01","SFEI_01_S01_031","W31","Fragment","White",NA,1570.29,"1523.52",500,NA,NA,NA,"31","S01","SFEI_01_S01_031_FRA_WHT.spa",0.828655368837612,"organic matter","soil","803a441e408ca659e8fb73a82095b4c9","Fragment","White"
"8","SFEI_01_S01","SFEI_01_S01_032","W32","Fragment","White",NA,906.98,"1272.99",500,NA,NA,NA,"32","S01","SFEI_01_S01_032_FRA_WHT.spa",0.813461490711477,"poly(acrylamide/amid)s","polyamide_66","8969f3522da0dfcd1d050f9ce6dc3720","Fragment","White"
"9","SFEI_01_S01","SFEI_01_S01_033","P1W33","Fiber","Orange",NA,1908.13,"1300.97",500,NA,NA,NA,"33","S01","SFEI_01_S01_033_FB_ORA.spa",0.809486004693647,"poly(esters/ethers/diglycidylethers/terephthalates)s","pest","b00ea25689c17cdbaaab1faec5e0b6b7","Fragment","Orange"
"10","SFEI_01_S01","SFEI_01_S01_034","W34","Fragment","Orange",NA,2802.15,"2132.93",500,NA,NA,NA,"34","S01","SFEI_01_S01_034_FRA_ORA.spa",0.642629596363887,"mineral","sand","40ddd16d085f7a4f9bc4356530517165","Fragment","Orange"
"11","SFEI_01_S01","SFEI_01_S01_035","W35","Fragment","White",NA,3350.4,"3202.79",500,NA,NA,NA,"35","S01","SFEI_01_S01_035_FRA_WHT.spa",0.821985453494748,"mineral","soil","b48a353f1aa6c46929d7d5aa76f9fab6","Fragment","White"
"12","SFEI_01_S01","SFEI_01_S01_036","W36","Fragment","White",NA,1549.98,"1537.07",500,NA,NA,NA,"36","S01","SFEI_01_S01_036_FRA_WHT.spa",0.696841390292202,"mineral","kyanite","0f49274f39a6dc2906171a78b1e7e3f1","Fragment","White"
"13","SFEI_01_S01","SFEI_01_S01_037","P2W37","Fragment","White",NA,1689.59,"1383.83",500,NA,NA,NA,"37","S01","SFEI_01_S01_037_FRA_WHT.spa",0.788347401210455,"mineral","soil","e1fc72bf63c2252834b79c1c5c2b2bc4","Fragment","White"
"14","SFEI_01_S01","SFEI_01_S01_038","P3W38","Fragment","White",NA,3225.51,"2012.91",500,NA,NA,NA,"38","S01","SFEI_01_S01_038_FRA_WHT.spa",0.777464212872599,"mineral","soil","463d6c13ccc9fd2c93f886cd410f49a9","Fragment","White"
"15","SFEI_01_S01","SFEI_01_S01_039","P4W39","Fragment","Brown",NA,4028.87,"3296.25",500,NA,NA,NA,"39","S01","SFEI_01_S01_039_FLM_BRN.spa",0.894948098406933,"poly(propylene)","pp","d0c51204abcf66fc61d6d573c0c6ff48","Fragment","Brown"
"16","SFEI_01_S01","SFEI_01_S01_040","W40","Fragment","White",NA,2125.3,"2464.72",500,NA,NA,NA,"40","S01","SFEI_01_S01_040_FRA_WHT.spa",0.651802618433104,"mineral","aragonite","9f07c9148e3bee8e4325743411ee0621","Fragment","White"
"17","SFEI_01_S01","SFEI_01_S01_041","W41","Fragment","White",NA,2842.76,"2992.88",500,NA,NA,NA,"41","S01","SFEI_01_S01_041_FRA_WHT.spa",0.689705927235926,"mineral","aragonite","9f07c9148e3bee8e4325743411ee0621","Fragment","White"
"18","SFEI_01_S01","SFEI_01_S01_042","P5W42","Fragment","White",NA,3108.47,"2587.01",500,NA,NA,NA,"42","S01","SFEI_01_S01_042_FRA_WHT.spa",0.49743492867726,"mineral","amber","0367af591eb4025e67fc984340be0feb","Fragment","White"
"19","SFEI_01_S01","SFEI_01_S01_043","W43","Fragment","White",NA,2734.47,"3006.42",500,NA,NA,NA,"43","S01","SFEI_01_S01_043_FRA_WHT.spa",0.844348280406204,"mineral","soil","b48a353f1aa6c46929d7d5aa76f9fab6","Fragment","White"
"20","SFEI_01_S01","SFEI_01_S01_044","W44","Fragment","White",NA,1130.34,"1327.16",500,NA,NA,NA,"44","S01","SFEI_01_S01_044_FRA_WHT.spa",0.560492139657396,"mineral","hematite","18d32882f0559b225f1d10165ef8aacc","Fragment","White"
"21","SFEI_01_S01","SFEI_01_S01_045","W45","Fragment","Orange",NA,1164.18,"1631.86",500,NA,NA,NA,"45","S01","SFEI_01_S01_045_FRA_ORA.spa",0.774861521778183,"mineral","soil","7bc077181393b4b61ca4ff81767bf20b","Fragment","Orange"
"22","SFEI_01_S01","SFEI_01_S01_046","P6W46","Fragment","White",NA,1472.21,"974.29",500,NA,NA,NA,"46","S01","SFEI_01_S01_046_FRA_WHT.spa",0.682639813337822,"mineral","soil","b04737fcd4c2de76ea560eae4f3e1072","Fragment","White"
"23","SFEI_01_S01","SFEI_01_S01_047","W47","Fragment","White",NA,1929.02,"3114.76",500,NA,NA,NA,"47","S01","SFEI_01_S01_047_FRA_WHT.spa",0.6972725824469,"mineral","aragonite","9f07c9148e3bee8e4325743411ee0621","Fragment","White"
"24","SFEI_01_S01","SFEI_01_S01_048","W48","Fragment","Orange",NA,1313.09,"1198.51",500,NA,NA,NA,"48","S01","SFEI_01_S01_048_FRA_ORA.spa",0.716831628301134,"mineral","soil","7bc077181393b4b61ca4ff81767bf20b","Fragment","Orange"
"25","SFEI_01_S01","SFEI_01_S01_049","P7W49","Fragment","Orange",NA,1547.39,"1545.04",500,NA,NA,NA,"49","S01","SFEI_01_S01_049_FRA_ORA.spa",0.754373087400141,"mineral","soil","660935b2fc5b9d94b6d541eb5dca47b1","Fragment","Orange"
