SampleID,ParticleID,WellID,ParticleShape,ParticleColor,ParticlePolymerType,ParticleLength,ParticleWidth,SieveSizeRange,PhotoURL,SpectraLink,Notes
SFEI_01_S01,,W25,,,,4034.02,4387.75,500,,,
SFEI_01_S01,,W26,,,,3243.41,4176.15,500,,,
SFEI_01_S01,,W27,,,,3837.73,3460.09,500,,,
SFEI_01_S01,,W28,,,,3905.41,2722.03,500,,,
SFEI_01_S01,,W29,,,,3627.91,3873.14,500,,,
SFEI_01_S01,,W30,,,,3472.23,4022.1,500,,,
SFEI_01_S01,,W31,,,,1570.29,1523.52,500,,,
SFEI_01_S01,,W32,,,,906.98,1272.99,500,,,
SFEI_01_S01,,P1W33,Fiber,Orange,,1908.13,1300.97,500,,,
SFEI_01_S01,,W34,,,,2802.15,2132.93,500,,,
SFEI_01_S01,,W35,,,,3350.4,3202.79,500,,,
SFEI_01_S01,,W36,,,,1549.98,1537.07,500,,,
SFEI_01_S01,,P2W37,Fragment,White,,1689.59,1383.83,500,,,
SFEI_01_S01,,P3W38,Fragment,White,,3225.51,2012.91,500,,,
SFEI_01_S01,,P4W39,Fragment,Brown,,4028.87,3296.25,500,,,
SFEI_01_S01,,W40,,,,2125.3,2464.72,500,,,
SFEI_01_S01,,W41,,,,2842.76,2992.88,500,,,
SFEI_01_S01,,P5W42,Fragment,White,,3108.47,2587.01,500,,,
SFEI_01_S01,,W43,,,,2734.47,3006.42,500,,,
SFEI_01_S01,,W44,,,,1130.34,1327.16,500,,,
SFEI_01_S01,,W45,,,,1164.18,1631.86,500,,,
SFEI_01_S01,,P6W46,Fragment,White,,1472.21,974.29,500,,,
SFEI_01_S01,,W47,,,,1929.02,3114.76,500,,,
SFEI_01_S01,,W48,,,,1313.09,1198.51,500,,,
SFEI_01_S01,,P7W49,Fragment,Orange,,1547.39,1545.04,500,,,
SFEI_01_S01,,W50,,,,1346.93,1401.64,500,,,
SFEI_01_S01,,W51,,,,2815.69,3642.91,500,,,
SFEI_01_S01,,W52,,,,2152.38,1455.81,500,,,
SFEI_01_S01,,W53,,,,1935.79,1936.57,500,,,
SFEI_01_S01,,W54,,,,1143.87,1124.02,500,,,
SFEI_01_S01,,W55,,,,1651.51,1746.97,500,,,
SFEI_01_S01,,P8W56,Fragment,Red,,2741.31,893.8,500,,,
SFEI_01_S01,,W57,,,,1441.69,1117.25,500,,,
SFEI_01_S01,,P9W58,Fragment,White,,2752.07,230.53,500,,,
SFEI_01_S01,,W59,,,,2247.14,2545.98,500,,,
SFEI_01_S01,,W60,,,,1164.18,1137.56,500,,,
SFEI_01_S01,,P10W61,Fragment,White,,1545.7,887.27,500,,,
SFEI_01_S01,,W62,,,,1028.81,697.44,500,,,
SFEI_01_S01,,W63,,,,1340.16,1144.34,500,,,
SFEI_01_S01,,W64,,,,1279.24,819.32,500,,,
SFEI_01_S01,,P11W65,Fragment,Orange,,1053.53,1004.68,500,,,
SFEI_01_S01,,W66,,,,1685.35,1178.19,500,,,
SFEI_01_S01,,P12W67,Fragment,White,,1807.74,980.72,500,,,
SFEI_01_S01,,P13W68,Fragment,Red,,1139.36,420.52,500,,,
SFEI_01_S01,,P14W69,Fragment,White,,1616.94,832.61,500,,,
SFEI_01_S01,,W70,,,,2335.13,2796.51,500,,,
SFEI_01_S01,,P15W71,Fragment,White,,2464.72,1901.94,500,,,
SFEI_01_S01,,W72,,,,1820.72,1760.52,500,,,
SFEI_01_S01,,P16W73,Fragment,White,,4880.64,877.26,500,,,
