"","sample_id","fiber","fragment","sphere","na","total_count","multiplier","total"
"1","SFEI_01_S01",1,51,NA,NA,52,1,52
"2","SFEI_01_S02",NA,7,2,NA,9,0.25,36
"3","SFEI_01_S03",NA,22,NA,NA,22,0.25,88
"4","SFEI_01_S04",NA,41,NA,NA,41,1,41
"5","SFEI_01_S05",NA,30,NA,NA,30,0.25,120
"6","SFEI_01_S06",NA,42,NA,NA,42,0.25,168
"7","SFEI_01_S07",NA,51,NA,1,52,0.25,208
"8","SFEI_01_S08",1,85,NA,NA,86,0.5,172
"9","SFEI_01_S09",NA,83,NA,NA,83,0.5,166
"10","SFEI_01_S10",NA,92,NA,NA,92,0.25,368
"11","SFEI_01_S11",NA,92,NA,NA,92,0.25,368
"12","SFEI_01_S12",NA,75,NA,1,76,0.5,152
"13","SFEI_01_S13",NA,32,NA,NA,32,0.25,128
"14","SFEI_01_S14",NA,38,1,NA,39,0.5,78
"15","SFEI_01_S15",NA,92,NA,NA,92,0.25,368
"16","SFEI_01_S16",NA,92,NA,NA,92,0.25,368
